類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	桃園陸光店	333 桃園市龜山區陸光路81號	桃園市	龜山區	121.331852	24.995602
家樂福超市	桃園復興一店	333 桃園市龜山區復興一路222號	桃園市	龜山區	121.364835	25.057393
家樂福超市	桃園復興店	330 桃園市桃園區復興路96號	桃園市	桃園區	121.315782	24.991159
家樂福超市	桃園萬壽二店	333 桃園市龜山區萬壽路二段663-667號	桃園市	龜山區	121.345592	24.998764
家樂福超市	桃園萬壽店	333 桃園市龜山區萬壽路一段293-295號	桃園市	龜山區	121.402968	25.017283
家樂福超市	桃園壽昌店	330 桃園市桃園區壽昌街20巷17號	桃園市	桃園區	121.293834	24.990202
家樂福超市	桃園寶山店	330 桃園市桃園區寶山街276、278號	桃園市	桃園區	121.313624	25.011375
家樂福超市	泰山明志店	243 新北市泰山區明志路二段95-97號	新北市	泰山區	121.428438	25.052013
家樂福超市	高雄大豐二店	807 高雄市三民區大豐二路298號	高雄市	三民區	120.333338	22.645657
家樂福超市	高雄南屏店	804 高雄市鼓山區南屏路551號	高雄市	鼓山區	120.300331	22.663689
家樂福超市	高雄美術東店	804 高雄市鼓山區美術東二路175號	高雄市	鼓山區	120.288294	22.662571
家樂福超市	基隆安樂店	204 基隆市安樂區安樂路二段164號B1	基隆市	安樂區	121.723327	25.121047
家樂福超市	基隆孝二店	200 基隆市仁愛區孝二路86號B1	基隆市	仁愛區	121.7406	25.130154
家樂福超市	基隆深溪店	201 基隆市信義區深溪路63號、65號	基隆市	信義區	121.782201	25.132904
家樂福超市	基隆樂利二店	204 基隆市安樂區樂利二街62巷225號	基隆市	安樂區	121.71659	25.121249
家樂福超市	淡水中山北店	251 新北市淡水區中山北路一段156號	新北市	淡水區	121.443901	25.177784
家樂福超市	淡水民權店	251 新北市淡水區民權路177巷12、16、18、20號	新北市	淡水區	121.460298	25.135137
家樂福超市	淡水沙崙店	251 新北市淡水區沙崙路168號	新北市	淡水區	121.424037	25.183404
家樂福超市	深坑北深店	222 新北市深坑區深坑區北深路三段151號	新北市	深坑區	121.602324	25.003405
家樂福超市	新竹北大店	300 新竹市北區北大路338號1樓	新竹市	北區	120.961998	24.806048
家樂福超市	新竹光復店	300 新竹市東區光復路一段329-1號	新竹市	東區	121.018624	24.78235
家樂福超市	新竹明湖店	300 新竹市東區明湖路566號	新竹市	東區	120.967238	24.777629
家樂福超市	新竹金山店	300 新竹市東區金山街30號	新竹市	東區	121.021076	24.777597
家樂福超市	新竹長春店	300 新竹市東區長春街56號	新竹市	東區	121.014963	24.785656
家樂福超市	新竹建中店	300 新竹市東區建中路42號、46號	新竹市	東區	120.994639	24.800535
家樂福超市	新竹食品店	300 新竹市東區食品路262-266號	新竹市	東區	120.971902	24.794426
家樂福超市	新竹振興店	300 新竹市東區振興路62號及68號	新竹市	東區	120.962153	24.795052
家樂福超市	新店北新店	231 新北市新店區北新路三段51號B1	新北市	新店區	121.541686	24.98058
家樂福超市	新店民族店	231 新北市新店區民族路71號B1	新北市	新店區	121.539353	24.978036
家樂福超市	新店如意店	231 新北市新店區如意街95、97號	新北市	新店區	121.495361	24.947005
家樂福超市	新店安康二店	231 新北市新店區安康路二段136巷59號	新北市	新店區	121.514147	24.963216
