類別	名稱	地址
OKmart	OK楊梅裕成店	桃園市楊梅區裕成路160-1號1樓
OKmart	OK楊梅中華店	桃園市楊梅區秀才路552、554號一樓
OKmart	OK楊梅新農店	桃園市楊梅區新農街377號1-3樓
OKmart	OK楊梅比佛利店	桃園市楊梅區青山二街407號1樓+B1樓
OKmart	OK楊梅立同店	桃園市楊梅區自立街301號1樓
OKmart	OK高山頂營區門市	桃園市楊梅區高山里南高山頂10-1號
OKmart	OK台鐵埔心門市	桃園市楊梅區永美路208號(埔心站3樓)
OKmart	OK楊梅湖山店	桃園市楊梅區湖山街20號及22號1樓
OKmart	OK楊梅金山店	桃園市楊梅區環東路436號
OKmart	OK楊梅新江店	桃園市楊梅區新江路181號1-3樓
OKmart	OK基隆海洋店	基隆市中正區新豐街420.422號1樓
OKmart	OK基隆祥豐店	基隆市中正區祥豐街321號
OKmart	OK基隆新富店	基隆市中正區新豐街251巷7弄35.37號
OKmart	OK基隆和一店	基隆市中正區和一路86.88號
OKmart	OK基隆新三益店	基隆市中正區中船路18號1樓
OKmart	OK基隆信六店	基隆市中正區義二路191號1樓
OKmart	OK基隆榮昌店	基隆市中正區中正路482號
OKmart	OK基隆信五店	基隆市中正區義二路174號1樓
OKmart	OK基隆東岸店	基隆市中正區中船路134號1樓
OKmart	OK基隆建心店	基隆市中正區祥豐街95之6號1樓
OKmart	OK基隆海事門市	基隆市中正區祥豐街246號勤學樓B1學生餐廳
OKmart	OK屏東建國店	屏東縣屏東市建國路155號1/2樓
OKmart	OK屏東建豐店	屏東縣屏東市建豐路206號
OKmart	OK屏東棒球店	屏東縣屏東市棒球路92號1樓
OKmart	OK屏東高中門市	屏東縣屏東市忠孝路231號1樓
OKmart	OK潮州北門店	屏東縣潮州鎮延平路312號1樓
OKmart	OK潮州太平店	屏東縣潮州鎮太平路56、58號1樓
OKmart	OK蘇澳蘇港店	宜蘭縣蘇澳鎮蘇港路397號、399號1樓
OKmart	OK蘇澳福德店	宜蘭縣蘇澳鎮福德路320號1樓
OKmart	OK蘇澳大同店	宜蘭縣蘇澳鎮大同路106號1樓
OKmart	OK頭城開蘭店	宜蘭縣頭城鎮開蘭路220號220之1號
OKmart	OK大仁科大門市	屏東縣鹽埔鄉維新路20號
OKmart	OK屏東麟洛店	屏東縣麟洛鄉民族路120號1+2樓
OKmart	OK福興寶成門市	彰化縣福興鄉福工路2號1樓(辦公大樓)
OKmart	OK萬里店	新北市萬里區瑪鋉路39號
OKmart	OK金山金美店	新北市金山區中山路235號
OKmart	OK竹東信義店	新竹縣竹東鎮東林路48號
OKmart	OK竹東大豐店	新竹縣竹東鎮中豐路３段134號
OKmart	OK竹東中豐店	新竹縣竹東鎮中豐路２段338號1樓
OKmart	OK竹東學興店	新竹縣竹東鎮學府路80+82號1樓
OKmart	OK竹東長興店	新竹縣竹東鎮北興路一段591號
OKmart	OK橫山內灣店	新竹縣橫山鄉中正路79號
OKmart	OK橫山福興店	新竹縣橫山鄉中豐路三段62號1樓
OKmart	OK北港醫院門市	雲林縣北港鎮新德路123號B1
OKmart	OK雲林瑞農店	雲林縣林內鄉瑞農10號1樓
OKmart	OK雲林縣府店	雲林縣斗六市雲林路2段418號
OKmart	OK斗六新興店	雲林縣斗六市中華路100號1樓
OKmart	OK斗六長春店	雲林縣斗六市南京路371號
OKmart	OK斗六內環店	雲林縣斗六市內環路812號
OKmart	OK雲林四湖店	雲林縣四湖鄉中正路345號
OKmart	OK彰基雲林門市	雲林縣西螺鎮市場南路375號1樓
OKmart	OK西螺建興店	雲林縣西螺鎮建興路2號1樓
OKmart	OK斗南南昌店	雲林縣斗南鎮南昌西路104巷3號1樓
OKmart	OK雲林古坑店	雲林縣古坑鄉中山路102號1樓
OKmart	OK虎尾德興店	雲林縣虎尾鎮德興路22之12號、復興路15號1樓
OKmart	OK虎尾林森店	雲林縣虎尾鎮林森路２段477巷78號
OKmart	OK桃園角板山店	桃園市復興區中正路93、95號1樓
OKmart	OK基隆聖心店	基隆市中山區西定路254號
OKmart	OK基隆文化店	基隆市中山區文化路132號
OKmart	OK基隆新民店	基隆市中山區中山一路25號
OKmart	OK基隆全民店	基隆市中山區復興路259巷60號
OKmart	OK基隆德和店	基隆市中山區復興路212巷5弄4號1樓
OKmart	OK基隆慶城店	基隆市中山區中和路168巷9弄21號1樓
OKmart	OK冬山永清店	宜蘭縣冬山鄉永興路２段103號
OKmart	OK冬山香中店	宜蘭縣冬山鄉香中路279、281號1樓
OKmart	OK羅東天祥店	宜蘭縣羅東鎮天祥路95、97號ㄧ樓
OKmart	OK羅東集祥店	宜蘭縣羅東鎮天津路6號1樓
OKmart	OK羅東國華店	宜蘭縣羅東鎮培英路141號1樓
OKmart	OK埔心忠義店	彰化縣埔心鄉忠義北路1號
OKmart	OK埔心新館店	彰化縣埔心鄉新館路726號
OKmart	OK大村正新門市	彰化縣大村鄉美港路２１５號(福利大樓一樓)
OKmart	OK二林萬興店	彰化縣二林鎮二溪路６段508、510、512號1樓
OKmart	OK二林仁愛店	彰化縣二林鎮仁愛路472號1樓
OKmart	OK二林儒林店	彰化縣二林鎮儒林路２段260號
OKmart	OK二林挖仔店	彰化縣二林鎮挖子路15-13號1樓、2樓
OKmart	OK祥茂林口門市	新北市林口區工四路18號B1
OKmart	OK彰化延平店	彰化縣彰化市大埔路485巷37號1樓
OKmart	OK彰化國聖店	彰化縣彰化市中山路三段512號1樓
OKmart	OK彰化大埔店	彰化縣彰化市大埔路619號之1
OKmart	OK彰化一德店	彰化縣彰化市一德南路257/259號
OKmart	OK彰化福安店	彰化縣彰化市福山街214、216號1樓
OKmart	OK彰化天祥店	彰化縣彰化市天祥路241號
OKmart	OK彰化公園店	彰化縣彰化市公園路１段471號1樓
OKmart	OK彰化茄苳店	彰化縣彰化市茄苳路二段20號1樓
OKmart	OK溪湖向上店	彰化縣溪湖鎮向上路22號
OKmart	OK北斗舜耕店	彰化縣北斗鎮中山路１段88.90號
OKmart	OK社頭仁雅店	彰化縣社頭鄉員集路２段156號
OKmart	OK社頭清水店	彰化縣社頭鄉忠義路703號一樓
OKmart	OK板橋自由店	新北市板橋區自由路34、36號1樓
OKmart	OK板橋溪北店	新北市板橋區溪北路51號
OKmart	OK板橋華德店	新北市板橋區四川路二段245巷53號
OKmart	OK板橋懷仁店	新北市板橋區懷仁街8號
OKmart	OK板橋華僑店	新北市板橋區僑中二街90巷2號1樓
OKmart	OK板橋新海店	新北市板橋區新海路80號1樓
OKmart	OK板橋華翠店	新北市板橋區縣民大道３段101號
OKmart	OK板橋大華店	新北市板橋區四川路１段170號
OKmart	OK板橋四川店	新北市板橋區四川路二段128號1樓
OKmart	OK板橋廣和店	新北市板橋區廣和街45號1樓
OKmart	OK板橋大仁店	新北市板橋區大仁街80號
OKmart	OK板橋崑崙店	新北市板橋區大觀路３段160巷34弄1號和36號一樓
OKmart	OK板橋建國店	新北市板橋區建國街53號
OKmart	OK泰山泰林店	新北市泰山區泰林路２段192號
OKmart	OK泰山楓江店	新北市泰山區楓江路30號1樓
OKmart	OK泰山貴陽店	新北市泰山區明志路３段357、359號1樓
OKmart	OK泰山貴賢店	新北市泰山區明志路三段135號1樓
OKmart	OK和美東萊店	彰化縣和美鎮東萊路153號1樓
OKmart	OK和美道周店	彰化縣和美鎮道周路535號1樓
OKmart	OK和美彰美店	彰化縣和美鎮彰美路３段438號1樓
OKmart	OK彰化員鹿店	彰化縣員林市員鹿路192號
OKmart	OK員林浮圳店	彰化縣員林市浮圳路２段237號1樓
OKmart	OK員林南平店	彰化縣員林市南平街140號1樓
OKmart	OK中州科大門市	彰化縣員林市山腳路３段2巷6號1樓
OKmart	OK彰化田尾店	彰化縣田尾鄉民生路１段7號1樓
OKmart	OK田尾光復店	彰化縣田尾鄉光復路１段96號1樓
OKmart	OK田尾陸豐店	彰化縣田尾鄉中正路３段188號
OKmart	OK竹塘信義店	彰化縣竹塘鄉信義街2號1樓
OKmart	OK彰化鹿東店	彰化縣鹿港鎮鹿東路207、209號1樓
OKmart	OK鹿港泳福店	彰化縣鹿港鎮鹿草路１段247號
OKmart	OK鹿港中山店	彰化縣鹿港鎮中山路502號
OKmart	OK三峽中福店	新北市三峽區中山路9號1樓
OKmart	OK三峽介壽店	新北市三峽區介壽路１段320號
OKmart	OK三峽弘園店	新北市三峽區弘園街43號1樓
OKmart	OK鶯歌永吉店	新北市鶯歌區鶯桃路208號1樓
