類別	名稱	地址	經度	緯度
麥當勞	三重龍門(含現烤法點)	新北市三重區龍門路42號	121.495986	25.072492
麥當勞	昆明旗艦專櫃(含現烤法點)	台北市萬華區昆明街92之4號	121.5052706	25.0448915
麥當勞	三重正義	新北市三重區正義北路15號	121.4978608	25.06293929
麥當勞	三重正義二	新北市三重區正義北路176號1樓	121.496488	25.06650846
麥當勞	三重五華(含現烤法點)	新北市三重區五華街89-1號1樓	121.492038	25.08341669
麥當勞	台北桂林家樂福	台北市萬華區桂林路1號	121.50623	25.03782
麥當勞	永和旗艦專櫃(含現烤法點)	新北市永和區永和路2段170號	121.5155386	25.0131164
麥當勞	三重三和旗艦專櫃(含現烤法點)	新北市三重區三和路四段392-1號	121.4819006	25.07914625
麥當勞	台北萬大二(含現烤法點)	台北市萬華區萬大路215號	121.500663	25.026882
麥當勞	三重重陽旗艦專櫃(含現烤法點)	新北市三重區重陽路一段5號	121.4869519	25.0576391
麥當勞	永和中山	新北市永和區中山路1段214號	121.5085317	25.00850365
麥當勞	台北西園二	萬華區西園路2段240號	121.495292	25.02829275
麥當勞	三重愛買	新北市三重區中正北路193巷45號1F	121.4754	25.07121
麥當勞	台北中央	台北市北投區中央北路四段534號1樓	121.4680669	25.12817053
麥當勞	蘆洲長安	新北市蘆洲區長安街127號1樓	121.4609167	25.08132698
麥當勞	蘆洲長榮(含現烤法點)	新北市蘆洲區長榮路376,378號	121.459748	25.087992
麥當勞	板橋中山(含現烤法點)	新北市板橋區中山路2段257號1樓	121.4777485	25.01792605
麥當勞	板橋文化	新北市板橋區文化路2段173號	121.4703905	25.02749788
麥當勞	中和中山	新北市中和區中山路2段583號1樓	121.4816631	25.00525885
麥當勞	淡水中正(含現烤法點)	新北市淡水區中正東路37號	121.4461916	25.16822903
麥當勞	新莊二	新北市新莊區中港路306號	121.4526781	25.04505731
麥當勞	板橋遠百二	新北市板橋區新站路28號9樓	121.465525	25.014582
麥當勞	板橋雨農	新北市板橋區雨農路60號1樓	121.4608733	25.02410627
麥當勞	淡水新市旗艦專櫃(含現烤法點)	新北市淡水區新市一路三段151號	121.44731	25.18306
麥當勞	板車環球	新北巿板橋區縣民大道二段7號B1F	121.4637475	25.01447592
麥當勞	板橋遠百	新北市板橋區中山路1段152號12樓	121.4643009	25.01106318
麥當勞	淡水中山	新北市淡水區中山北路1段105號1樓	121.4423917	25.17636482
麥當勞	五股成泰	五股區成泰路2段121號1樓	121.4386846	25.08542291
麥當勞	新莊中平旗艦專櫃(含現烤法點)	新北市新莊區中平路346,348號	121.44469	25.0527
麥當勞	板橋重慶	新北市板橋區重慶路23號	121.4611327	25.00784169
麥當勞	新莊中正(含現烤法點)	新北市新莊區中正路232號	121.4484969	25.0353539
麥當勞	板橋府中	新北市板橋區府中路69號	121.457862	25.009492
麥當勞	泰山泰林(含現烤法點)	新北市泰山區泰林路2段194號1樓	121.4331154	25.06158555
麥當勞	板橋愛買二	新北市板橋區貴興路101號1樓	121.456195	25.002656
麥當勞	新莊中正二(含現烤法點)	新北市新莊區中正路617-619號	121.4325	25.0317
麥當勞	泰山明志(含現烤法點)	新北市泰山區明志路三段153號	121.42493	25.03983
麥當勞	新莊三	新北市新莊區民安路188巷5號	121.4248704	25.02311872
麥當勞	新莊富國(含現烤法點)	新北市新莊區中正路877-5號	121.41801	25.02639
麥當勞	新莊中山(含現烤法點)	新北市新莊區新北大道七段792號	121.413101	25.02443063
麥當勞	樹林中山	新北市樹林區中山路1段101號	121.4233298	24.99114628
麥當勞	板橋篤行(含現烤法點)	新北市板橋區篤行路三段99號B1~2樓	121.426259	24.98463
麥當勞	林口中山(含現烤法點)	新北市林口區中山路250之1號	121.3859236	25.07944689
麥當勞	新莊龍華(含現烤法點)	桃園市龜山區萬壽路一段317號	121.40261	25.01719
麥當勞	林口文化旗艦專櫃(含現烤法點)	新北市林口區文化一路一段33號	121.37016	25.06905
麥當勞	林口復興(含現烤法點)	桃園市龜山區復興一路148號	121.3664574	25.05831231
麥當勞	桃園龜山(含現烤法點)	桃園市龜山區自強東路291號1樓	121.3451922	24.99838099
麥當勞	鶯歌文化	新北市鶯歌區文化路363號1樓	121.3519602	24.95152289
麥當勞	桃園新光三越(含現烤法點)	桃園市桃園區大有路189號	121.3202107	25.00840259
麥當勞	鶯歌鶯桃(含現烤法點)	新北市鶯歌區鶯桃路411號	121.332819	24.96453
麥當勞	八德桃鶯(含現烤法點)	桃園市八德區桃鶯路37號	121.3272294	24.97098465
麥當勞	桃園桃鶯旗艦專櫃(含現烤法點)	桃園市桃園區桃鶯路66號	121.318025	24.987099
麥當勞	桃園經國家樂福	桃園市桃園區經國路369號2樓	121.30535	25.01617
麥當勞	桃園經國旗艦專櫃(含現烤法點)	桃園市桃園區經國路495號1樓	121.3036093	25.02073312
麥當勞	桃園新遠百	桃園市桃園區中正路20號B1F	121.313723	24.989744
麥當勞	桃園中正	桃園市桃園區中正路50號	121.3128536	24.9910168
麥當勞	桃園大興西(含現烤法點)	桃園市桃園區大興西路1段212號	121.3033675	25.01347831
麥當勞	南崁中正旗艦專櫃(含現烤法點)	桃園市蘆竹區南榮村中正路245號	121.2922143	25.04682851
麥當勞	桃園三民(含現烤法點)	桃園市桃園區三民路3段313號1樓	121.306075	24.99237714
麥當勞	桃園大興西二旗艦專櫃(含現烤法點)	桃園市桃園區大興西路二段177號	121.296046	25.009668
麥當勞	桃園愛買	桃園市桃園區中山路939號	121.2829098	24.98572608
麥當勞	桃園大湳旗艦專櫃(含現烤法點)	桃園市八德區介壽路2段332號1樓	121.2977196	24.9489635
麥當勞	蘆竹大竹旗艦專櫃(含現烤法點)	桃園市蘆竹區大竹路432號	121.263422	25.021503
麥當勞	桃園八德旗艦專櫃(含現烤法點)	桃園市八德區中華路277號	121.2763326	24.98158775
麥當勞	桃園機場一(含現烤法點)	桃園市大園區航站南路9號B2F	121.2376	25.0814
麥當勞	桃園機場二	桃園市大園區航站南路9號第二航廈管制區C區4樓	121.2322312	25.0772482
麥當勞	苗栗光復(含現烤法點)	苗栗縣苗栗市光復路11號	120.8161413	24.55225151
麥當勞	苗栗中山	苗栗縣苗栗市中山路600號1樓	120.8193992	24.55742969
麥當勞	苗栗家樂福中心	苗栗縣苗栗市國華路599號1樓	120.8200814	24.5752299
麥當勞	苗栗三義(含現烤法點)	苗栗縣三義鄉西湖村下湖5-15號1樓	120.7590241	24.38952336
麥當勞	頭份大潤發	苗栗縣頭份鎮自強路230號1樓	120.89418	24.6839
麥當勞	竹南民權	苗栗縣竹南鎮民權街49號	120.8783001	24.6857189
麥當勞	苗栗頭份旗艦專櫃(含現烤法點)	苗栗縣頭份鎮中華路1335號1樓	120.9145301	24.69288851
麥當勞	頭份中央(含現烤法點)	苗栗縣頭份市中央路583,585,587號	120.89364	24.69421
麥當勞	苑裡介壽	苗栗縣苑裡鎮房裡里南房63之10號1樓	120.6457395	24.43178258
麥當勞	竹東長春(含現烤法點)	新竹縣竹東鎮長春路3段191號	121.0829618	24.74386243
麥當勞	新竹光復旗艦專櫃(含現烤法點)	新竹市東區光復路1段526號	121.0109908	24.78655363
麥當勞	新竹交大(含現烤法點)	新竹市東區大學路1001號之國立交通大學女二舍B棟1F	120.999411	24.789257
麥當勞	新竹關新旗艦專櫃(含現烤法點)	新竹市東區關新路26號	121.018695	24.785981
麥當勞	新竹經國二旗艦專櫃(含現烤法點)	新竹市香山區經國路三段11號	120.953231	24.798237
麥當勞	新竹食品旗艦專櫃(含現烤法點)	新竹市東區食品路228號	120.97507	24.796444
麥當勞	新竹南大	新竹市東區南大路337號1樓	120.9695928	24.79748801
麥當勞	新竹清大(含現烤法點)	新竹市東區光復路二段101號(清華大學小吃部)	120.99641	24.79612
麥當勞	新竹光復二(含現烤法點)	新竹市東區光復路2段241、243號	120.990862	24.799636
麥當勞	新竹中正(含現烤法點)	新竹市東區中正路34號	120.9710779	24.80372637
麥當勞	新竹西大	新竹市北區西大路513號1樓	120.9624455	24.80574657
麥當勞	新竹愛買	新竹市東區公道五路二段469號B1	120.994298	24.804472
