類別	名稱	地址	經度	緯度
屈臣氏	梧棲	台中市梧棲區文化路二段202號	120.531684	24.256495
屈臣氏	沙鹿	台中市沙鹿區中山路246號	120.561383	24.237919
屈臣氏	沙田	台中市沙鹿區中正街55號	120.559099	24.236395
屈臣氏	靜宜	台中市沙鹿區台灣大道七段259號	120.576182	24.226417
屈臣氏	清水	台中市清水區中山路126-7號	120.575422	24.268497
屈臣氏	潭子	台中市潭子區勝利路213號	120.700553	24.212799
屈臣氏	烏日	台中市烏日區興祥街46號	120.637944	24.108355
屈臣氏	精誠	台中市西區精誠路154號	120.655076	24.152449
屈臣氏	公益	台中市西區公益路175號	120.661433	24.150708
屈臣氏	美村	台中市西區美村路一段686號	120.661551	24.135254
屈臣氏	美村二	台中市西區美村路一段22號	120.661733	24.154665
屈臣氏	逢甲	台中市西屯區福星路427號	120.645236	24.179148
屈臣氏	西屯	台中市西屯區西屯路二段16-1號	120.640722	24.178821
屈臣氏	永福	台中市西屯區永福路137號	120.620738	24.184608
屈臣氏	文華	台中市西屯區西屯路二段269-50號	120.644268	24.174566
屈臣氏	特易發	台中市西屯區青海路二段207-18號B1	120.644874	24.170472
屈臣氏	青海	台中市西屯區青海路一段174號	120.652896	24.165615
屈臣氏	精誠二	台中市西屯區精誠路18號	120.656962	24.157087
屈臣氏	中工	台中市西屯區中工三路162號	120.61801	24.177316
屈臣氏	福星	台中市西屯區福星北路5號	120.644728	24.182639
屈臣氏	豐原	台中市豐原區中正路147號	120.719794	24.251579
屈臣氏	向陽	台中市豐原區向陽路269號	120.728155	24.251391
屈臣氏	豐功	台中市豐原區成功路148號	120.710034	24.244604
屈臣氏	新霧峰	台中市霧峰區中正路841號	120.698668	24.064481
屈臣氏	東海	台中市龍井區新興路2號	120.592488	24.18144
屈臣氏	大直	台北市中山區北安路520-4號	121.546254	25.079693
屈臣氏	農安	台北市中山區雙城街14號	121.52441	25.064805
屈臣氏	松江	台北市中山區松江路287號	121.533369	25.060441
