類別	名稱	地址
星巴克	蘆洲三民門市	新北市蘆洲區三民路120號
星巴克	土城金城門市	新北市土城區金城路三段11號1樓
星巴克	板橋遠科門市	新北市板橋區遠東路1號
星巴克	新莊中正門市	新北市新莊區中正路178號
星巴克	草山門市	台北市士林區國泰街5號
星巴克	新莊門市	新北市新莊區幸福路763-3號1F之1
星巴克	新莊宏匯門市	新北市新莊區新北大道4段3號1樓
星巴克	亞東門市	新北市板橋區南雅南路二段21號
星巴克	土城門市	新北市土城區青雲路152號1樓
星巴克	新莊新泰門市	新北市新莊區新泰路308號1-2樓
星巴克	蘆洲長榮門市	新北市蘆洲區長榮路418號1樓
星巴克	北投大業門市	台北市北投區大業路302號
星巴克	光明門市	台北市北投區光明路218-4號
星巴克	新莊尚德門市	新北市新莊區中正路518號
星巴克	土城日月光門市	新北市土城區學府路二段210號1F
星巴克	泰山明志門市	新北市泰山區明志路2段123號
星巴克	華碩二門市	台北市北投區立德路115號3樓
星巴克	關渡門市	台北市北投區大度路三段296巷45號1樓
星巴克	樹林秀泰門市	新北市樹林區樹新路40-6號1F
星巴克	新莊雙鳳門市	新北市新莊區中正路702號
星巴克	樹林中山門市	新北市樹林區中山路一段157號 (近立人街口)
星巴克	竹圍門市	新北市淡水區民權路42號
星巴克	龜山迴龍門市	桃園市龜山區萬壽路一段166號
星巴克	紅樹林門市	新北市淡水區中正東路二段68號
星巴克	基隆麥金門市	基隆市安樂區麥金路201號B1
星巴克	廣達門市	桃園市龜山區文化二路211號1樓 (位於廣達電腦研發總部大樓，需憑該企業員工證件才可進入)
星巴克	林口中山門市	新北市林口區中山路369號
星巴克	淡水門市	新北市淡水區公明街89號1樓
星巴克	文化門市	新北市林口區文化二路一段551號
星巴克	環球A8門市	桃園市龜山區復興一路8號 (環球購物中心2樓)
星巴克	龜山復興門市	桃園市龜山區復興北路1號
星巴克	河岸門市	新北市淡水區中正路205號
星巴克	林口門市	桃園市龜山區復興一路202號1樓
星巴克	長庚文化門市	桃園市龜山區文化二路11-5號
星巴克	MITSUI門市	新北市林口區文化三路一段356號
星巴克	林口文化三門市	新北市林口區文化三路一段359 號
星巴克	基隆南站門市	基隆市仁愛區港西街5號
星巴克	淡海門市	新北市淡水區中山北路二段183號1樓
星巴克	學勤北大門市	新北市樹林區大雅路288號
星巴克	三峽學成門市	新北市三峽區學成路317號
星巴克	淡水雲門門市	新北市淡水區中正路一段6巷32-1號
星巴克	義14門市	基隆市中正區義一路14號
星巴克	漁人碼頭門市	新北市淡水區觀海路91號
星巴克	鶯歌門市	新北市鶯歌區育英街67號
星巴克	龜山萬壽門市	桃園市龜山區萬壽路二段1202號1樓
星巴克	大有三越門市	桃園市桃園區大有路189號1樓
星巴克	基隆新豐門市	基隆市中正區新豐街162巷309號
星巴克	桃鶯門市	桃園市桃園區桃鶯路192之1號
星巴克	桃園成功門市	桃園市桃園區成功路一段2&amp;2-1號
星巴克	桃園台鐵門市	桃園市桃園區中正路1號2樓
星巴克	桃園遠百門市	桃園市桃園區中正路20號B1
星巴克	桃園統領門市	桃園市桃園區中正路61號1樓
星巴克	經國門市	桃園市桃園區經國路369號1樓
星巴克	經國二門市	桃園市桃園區經國路737號 (本門市提供場地租借，詳情請洽門市夥伴)
星巴克	桃園藝文門市	桃園市桃園區同德五街61號1樓
