類別	編號	名稱	地址	縣市	鄉鎮	經度	緯度
公車站牌	1000452	文山運動中心(萬芳)	萬芳路和興隆路3段163巷3號(向東)	Taipei		121.56078	24.996958	
公車站牌	1000453	忠順廟	木新路三段29號(向東)	Taipei		121.56469	24.982483	
公車站牌	1000454	司法新村	保儀路169號(向南)	Taipei		121.565878316644	24.9837214466608	
公車站牌	1000456	景文中學(臺灣戲曲學院)	保儀路129號對面(向北)	Taipei		121.5673654	24.98561035	
公車站牌	1000468	東湖站	安康路228巷與潭美街交叉口往西26公尺(向西)	Taipei		121.6030148	25.06116745	
公車站牌	1000470	劉厝	成功路二段199號(向北)	Taipei		121.526627	24.996255	
公車站牌	1000471	網溪國小	竹林路123號前(向西)	Taipei		121.519076136778	25.0130767773432	
公車站牌	1000474	六合社區	成功路二段(向東)	Taipei		121.525666	24.999141	
公車站牌	1000476	正興里	中正路730號(向西)	Taipei		121.515491	25.0101	
公車站牌	1000487	板橋後站	和平路16號(向東)	Taipei		121.459828	24.994435	
公車站牌	1000491	重慶國中	重慶路319號(向北)	Taipei		121.4638387	24.99860231	
公車站牌	1000492	中興醫院	忠孝路(向西)	Taipei		121.46047	25.002036	
公車站牌	1000493	中興醫院	忠孝路(向東)	Taipei		121.460852	25.001922	
公車站牌	1000495	板橋後站	和平路16號對面(向西)	Taipei		121.459901	24.994516	
公車站牌	1000498	行政院	青島東路(向南)	Taipei		121.5215079	25.04483077	
公車站牌	1000499	西湖圖書館(湖光教會)	內湖路一段717號(向西)	Taipei		121.5779835	25.07910692	
公車站牌	10005	台貿一村	連城路235號同向(向北)	Taipei		121.492320399314	24.9965568353221	
公車站牌	1000500	敬業三路二	敬業三路121號對面(向北)	Taipei		121.556408099291	25.0813388630833	
公車站牌	1000501	敬業三路一	敬業三路20號旁(向北)	Taipei		121.556430509921	25.0831610051795	
公車站牌	1000502	敬業三路二	敬業三路123號(向南)	Taipei		121.556223237814	25.0812466844798	
公車站牌	1000504	及人中學	安和路一段(向北)	Taipei		121.5178827	24.96703037	
公車站牌	1000505	十四份	安和路2段1-1號(向北)	Taipei		121.5185189	24.96899196	
公車站牌	1000506	柴埕里	安和路2段142號(向北)	Taipei		121.5195868	24.97252092	
公車站牌	1000510	石頭厝	安和路2段156號(向北)	Taipei		121.5190051	24.97419406	
公車站牌	1000512	安和路二段	新店區安和路二段222號(向北)	Taipei		121.517335	24.976013	
公車站牌	1000513	中正二分局	重慶南路二段(向北)	Taipei		121.514086870192	25.0326456333347	
公車站牌	1000515	愛國金山路口	愛國東路(向西)	Taipei		121.526147474931	25.0319083503876	
公車站牌	1000517	湖山巖	興南路二段246號對面(向北)	Taipei		121.503256	24.981908	
公車站牌	1000519	無極宮	興南路二段45號對面(向北)	Taipei		121.4966605	24.97795235	
公車站牌	1000520	崁頂	泉州街(向西)	Taipei		121.5131483	25.02546189	
公車站牌	1000521	萬壽橋頭(木柵)	木柵路4段上臨秀明路對面(向南)	Taipei		121.570973024858	24.9913094198003	
公車站牌	1000522	景文中學	木新路二段156號(向西)	Taipei		121.568940442089	24.9841119210195	
公車站牌	1000523	興隆路口(忠順)	忠順街一段(向西)	Taipei		121.561007	24.984487	
公車站牌	1000524	忠順街	忠順街一段24號對面(向西)	Taipei		121.5589488	24.98412741	
公車站牌	1000525	實踐國小	忠順街一段1號(向西)	Taipei		121.5568155	24.98357787	
公車站牌	1000530	忠順街	忠順街一段20號(向東)	Taipei		121.5588	24.9839894	
公車站牌	1000540	景文中學	木新路二段173號(向東)	Taipei		121.568528509552	24.9837877068618	
公車站牌	1000541	萬壽橋頭(木柵)	木柵路4段上臨秀明路(向北)	Taipei		121.57111522305	24.9913142071305	
公車站牌	1000543	木柵高工	木柵路四段77號同向(向南)	Taipei		121.572590803415	24.9965014109618	
公車站牌	1000544	指南路口	木新路二段52號(向南)	Taipei		121.570658	24.986197	
公車站牌	1000545	加油站	寶橋路213號(向西)	Taipei		121.548575	24.9771	
公車站牌	1000546	寶橋中興路口	寶橋路88號對面(向南)	Taipei		121.546778	24.975953	
公車站牌	1000547	滬江中學	羅斯福路六段433號(向北)	Taipei		121.539969	24.990879	
